id,question,choice1,choice2,choice3,choice4,answer,point,title,explanation
513,I like the child ( ) better for his honesty.,much,far,all the,as much,all the,POINT125,比較級を用いた慣用表現③,「それだけいっそう」理由を示すfor。
514,Professor Harris likes him none the ( ) for his bad habit.,better,worse,best,most,worse,POINT125,比較級を用いた慣用表現③,「それでもやはり」悪い習慣にも関わらず。
515,"(　　) went on, the more tired the players became.",The long game,The longer the game,The longest the game,The longer game,The longer the game,POINT125,比較級を用いた慣用表現③,「試合が長くなればなるほど」
516,Lucy wanted ( ) of the two boxes.,a larger,largest,the larger,a largest,the larger,POINT126,比較級を用いた慣用表現④,2つのうちで比較級にはtheをつける。
517,His paper is superior ( ).,than mine,to mine,than me,to me,to mine,POINT126,比較級を用いた慣用表現④,「〜より優れている」前置詞はto。
518,Some professional players are actually ( ) to amateur players in some skills.,worse,lesser,poorer,inferior,inferior,POINT126,比較級を用いた慣用表現④,「〜より劣っている」前置詞はto。
519,I ( ) reading books at home to going out on rainy days.,prefer,like,want,hope,prefer,POINT126,比較級を用いた慣用表現④,「BよりAを好む」
520,John is (　　) of the two boys.,the most tall,the taller,more tall,taller,the taller,POINT126,比較級を用いた慣用表現④,2つのうちで比較級。
521,Our teacher has told us that DVDs are (　　) videotapes for foreign language learning.,useful than,more better than,superior to,such good as,superior to,POINT126,比較級を用いた慣用表現④,「〜より優れている」前置詞to。
522,I prefer staying home (　　) going out on Sundays.,for,by,to,from,to,POINT126,比較級を用いた慣用表現④,「BよりAを好む」
523,"Although he only joined the firm last year, he is (　　) to me already.",better,senior,older,higher,senior,POINT126,比較級を用いた慣用表現④,「〜より年上/上位」前置詞to。
524,He is ( ) more capable of doing the job than I am.,not,no,even,the,no,POINT127,noを使った比較表現①,「〜でないのは...と同じ」両方否定。
525,My car is ( ) expensive than yours.,no less,neither less,no fewer,neither fewer,no less,POINT127,noを使った比較表現①,「〜に劣らず」= as...as。
526,He saved ( ) than one million yen.,not larger,not lower,no less,no fewer,no less,POINT127,noを使った比較表現①,「〜も」（多さの強調）= as much as。
527,I don't believe his story (　　) than you do.,not much,no more,any more,as much,any more,POINT127,noを使った比較表現①,「あなたと同様に信じない」
528,I am not to blame ( ) you are.,no more than,no less than,any less than,any more than,any more than,POINT128,noを使った比較表現②,「〜でないのは...と同様」= no more...than。
529,"Compared with the whole universe, the earth is no ( ) than a little star.",more,fewer,less,smaller,more,POINT128,noを使った比較表現②,「〜にすぎない」= only。
530,I have at most 100 dollars. = I have ( ) 100 dollars.,more than,less than,not more than,not less than,not more than,POINT128,noを使った比較表現②,「多くても〜」= at most。
531,A whale is (　　) a horse is.,not less a mammal than,not more a fish than,not a fish less than,no more a fish than,no more a fish than,POINT128,noを使った比較表現②,「馬が魚でないのと同様に鯨も魚ではない」
532,(a) The painting cost him no less than a million dollars. (b) He paid as (　　) as a million dollars for the painting.,good,many,much,little,much,POINT128,noを使った比較表現②,「〜も（多額）」
533,I had no more than two thousand yen when I arrived at the station.,as much as,often,much,only,only,POINT128,noを使った比較表現②,「たった〜だけ」= only。
534,"Of the three sisters, Jane was ( ) singer.",the better,a better,the best,a best,the best,POINT129,最上級の基本,3人以上の比較は最上級。theをつける。
535,He is one of the ( ) actors in the United States.,great,greater,more great,greatest,greatest,POINT129,最上級の基本,「最も〜なものの一つ」
536,Diamonds are (　　) all substances; they can be cut only by other diamonds.,the hardest of,more than hard,hardest,harder of,the hardest of,POINT129,最上級の基本,「すべての物質の中で最も硬い」
537,Jane is ( ) tennis player in her club.,too far the best,quite the best,by far the best,very the best,by far the best,POINT130,最上級を用いた表現①,「断然〜」最上級の強調。
538,She is the most attractive woman I ( ) met.,have had,never had,had never,have ever,have ever,POINT130,最上級を用いた表現①,「今までで最も〜」現在完了 + ever。
539,Mr. Miura is ( ) player after Mr. Kato in this team.,twice as good as,twice better than,the second better than,the second best,the second best,POINT130,最上級を用いた表現①,「2番目に〜」
540,This shopping mall is the second (　　) one in New York.,larger,as large,largest,large,largest,POINT130,最上級を用いた表現①,「2番目に大きい」
541,The curry at that restaurant is (　　) I've ever had.,too bad,the worst,worse,much worse,the worst,POINT130,最上級を用いた表現①,「今までで最悪」
542,"Once you get the scholarship, you should ( ) the most of the chance.",come,go,make,take,make,POINT131,最上級を用いた表現②,「〜を最大限に活用する」
543,"To the ( ) of my knowledge, the cause of the accident was a simple mistake.",best,last,most,help,best,POINT131,最上級を用いた表現②,「〜の限りでは」私の知る限り。
544,( ) least 530 of them died in this fire.,Among,At,For,During,At,POINT131,最上級を用いた表現②,「少なくとも」
545,(　　) least 530 of them died in this fire.,At,Among,During,For,At,POINT131,最上級を用いた表現②,「少なくとも」
546,New York is larger than ( ) city in Europe.,most,any,every,any other,any,POINT132,最上級の意味を表す原級・比較表現,他のどの～という意味。
547,No other language is spoken by ( ) people as English is.,many,so many,most,more,so many,POINT132,最上級の意味を表す原級・比較表現,最上級の書き換え。
548,No other mountain in Japan is ( ) Mt. Fuji.,as higher as,higher than,not as high as,the highest of,higher than,POINT132,最上級の意味を表す原級・比較表現,最上級の書き換え。
549,Nothing is so beautiful as nature. =,Nature is not such a beautiful thing.,There is something more beautiful than nature.,Nature is the most beautiful of all things.,Nature is as beautiful as nothing.,Nature is the most beautiful of all things.,POINT132,最上級の意味を表す原級・比較表現,Nature is not such a beautiful thing.（自然はそんなに美しくない）→ ✕ 意味が逆|There is something more beautiful than nature.（自然より美しいものがある）→ ✕ 意味が逆|Nature is the most beautiful of all things.（自然はすべてのものの中で最も美しい）→ 〇 正しい|Nature is as beautiful as nothing.（自然は何と同じくらい美しいのでもない → 意味不明）→ ✕ 誤り
550,Nothing ( ) than the sunrise seen from the top of Mt. Fuji on a fine day.,is so beautiful,is more beautiful,is beautiful,is as beautiful,is more beautiful,POINT132,最上級の意味を表す原級・比較表現,「〜ほど〜なものはない」= 最上級。
551,(　　) is so precious as time.,Anything,Nothing,Everything,Something,Nothing,POINT132,最上級の意味を表す原級・比較表現,「時間ほど貴重なものはない」
552,Time is more precious than (　　).,everything,anything else,nothing,all things,anything else,POINT132,最上級の意味を表す原級・比較表現,「他の何よりも」最上級の意味。
